state,gunmurder,gunrate,violent,murderslaughter,rape,rob,aggrevated,property,burg,larc,motor,gdpcap,density,borderchainav,population,gunreg,guncap,gini,poverty,nongun,educ,agemurder,urban,female,divorce,alc,state,mentalrank
Nevada,3.9,37.5,607.6,6.2,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1,43820,10,38.28,2998039,76888,25.64609733,0.448,15.4,2.3,23,14.16,94.2,49.5,4.3,3.32,Nevada,48
New Hampshire,0.6,14.4,187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5,51794,57,31.7,1342795,64135,47.76231666,0.425,9.2,0.5,34.9,7.03,60.3,50.7,,4.72,New Hampshire,6
New Jersey,2.9,11.3,290.2,4.1,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9,57084,470,26.06666667,9005644,57507,6.385662147,0.464,11.1,1.2,36.8,5.69,94.7,51.3,,2.35,New Jersey,23
New Mexico,2.7,49.9,559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9,41348,6,37.7,2088070,97580,46.73214978,0.464,20.6,2.9,26.3,15.63,77.4,50.6,,2.25,New Mexico,32
New York,1.9,10.3,406.8,3.1,14.6,146.4,242.3,1922,329.9,1503.5,88.6,64579,162,21.85,19849399,76207,3.839259818,0.499,15.9,1.2,34.2,4.39,87.9,51.6,,2.17,New York,11
North Carolina,3.5,28.7,353.4,5.2,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3,44325,79,40.4,10273419,152238,14.81863049,0.646,17.2,1.7,28.4,12.42,66.1,51.3,,2.1,North Carolina,26
North Dakota,1.2,47.9,244.7,2.8,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5,62837,4,52,755393,13272,17.56966241,0.433,11.1,1.6,27.7,11.89,59.9,49.5,,3.25,North Dakota,10
Ohio,2.7,19.6,299.7,4.3,31.7,132,131.7,3117.4,895.9,2052.5,169,47567,109,43.06,11658609,173405,14.87355824,0.452,15.8,1.6,26.1,11.14,77.9,51.2,,2.03,Ohio,22
Oklahoma,3.8,31.2,469.3,6,41.6,84.7,337.3,3401,936.6,2161.3,303.1,44623,22,40.75,3930864,71269,18.13061963,0.454,16.6,2.2,24.1,16.41,66.2,50.5,4.4,1.89,Oklahoma,37
Oregon,0.8,26.6,247.6,2.5,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7,50582,16,35.875,4142776,61383,14.81687641,0.449,16.4,1.7,30.8,11.76,81,50.5,,2.7,Oregon,20
Pennsylvania,3.9,27.1,348.7,5.1,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7,50997,110,27.48333333,12825537,236377,18.43018347,0.461,13.6,1.2,28.6,11.36,78.7,51.3,,2.33,Pennsylvania,16
Rhode Island,0.9,5.8,252.4,2.7,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2,47639,394,15.76666667,1059639,4233,3.994756705,0.467,14.8,1.8,31.9,5.33,90.7,51.7,,2.52,Rhode Island,9
South Carolina,6.4,44.4,558.8,8.2,35.5,95,421.4,3822.2,954.5,2588.3,279.5,37063,62,40.8,5024369,105601,21.01776362,0.461,17.9,1.8,25.8,15.6,66.3,51.4,,2.25,South Carolina,45
South Dakota,1.4,35,321.8,3.7,70.2,19,229.7,2060.1,391,1541.4,127.8,48076,4,48.55,869666,21130,24.29668401,0.442,14.1,2.3,27,9.47,56.7,50,,2.79,South Dakota,4
Tennessee,4.5,39.4,643.6,6.2,31.5,126.5,479.6,3371.4,870.2,2300.1,201,43267,61,46.05,6715984,99159,14.76462719,0.468,18.2,1.7,24.9,15.86,66.4,51.3,,2.06,Tennessee,36
Texas,3.3,35.7,408.6,4.8,29.6,116.6,258,3361.8,785.9,2326.4,249.4,53795,40,44.275,28304596,588696,20.79860105,0.469,17.2,1.5,27.6,10.5,84.7,50.4,4.2,2.28,Texas,46
Utah,1.1,31.9,205.8,1.8,33,38.5,132.5,2991.8,453.3,2328.4,210.1,44636,14,41.56666667,3101833,72856,23.48804723,0.419,11.8,0.7,31.1,11.69,90.6,49.8,,1.39,Utah,35
Vermont,1.3,28.8,142.6,1.6,19.3,17.9,104.2,2398.7,633.4,1695.8,69.5,43946,26,20.2,623657,5872,9.41543188,0.444,12.2,0.3,36,10.37,38.9,50.7,,3.08,Vermont,1
Virginia,3.3,29.3,190.1,4.6,17.7,57.5,111.1,2162.1,360.5,1690.7,110.9,51736,81,41.92,8470020,307822,36.3425352,0.459,11.8,1.3,36.3,10.46,75.5,50.9,,2.12,Virginia,28
Washington,2,27.7,295.6,2.6,31.8,83.3,177.5,3658.6,880.5,2395.3,382.8,56831,41,47.55,7405743,91835,12.40051133,0.441,13.2,0.6,32.9,9.07,84,50.2,,2.26,Washington,24
West Virginia,1.6,54.2,316.3,3.8,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1,36315,29,34.24,1815857,35264,19.42003142,0.451,18.3,2.2,19.2,15.1,48.7,50.7,,1.71,West Virginia,34
Wisconsin,2.9,34.7,280.5,4.2,21.3,80.7,175.5,2453.8,488,1822.3,143.5,47266,41,35.8,5795483,64878,11.19458033,0.43,13.2,1.3,27.8,9.93,70.2,50.4,,2.98,Wisconsin,14
Wyoming,1.7,53.8,201.4,2.7,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3,58821,2,49.64,579315,132806,229.2466102,0.423,10.6,1,25.7,17.51,64.8,49,4.2,2.74,Wyoming,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
